_prepare,_run,auto_log,background,bidi,block_trial_nr,bonus,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_high_reward,count_instructions_1,count_instructions_2,count_instructions_3,count_logger,count_low_reward,count_neut1_reward,count_neut2_reward,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,em1_end_position,em1_end_time,em1_start_position,em1_start_time,em2_end_position,em2_end_time,em2_start_position,em2_start_time,emcount,feedback_color,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,high_reward_location,ignore_missing,item,keyboard_backend,log_msg,looked_distractor,low_location,low_reward_location,mode,mouse_backend,neut1_location,neut2_location,not_fixated,order,points_received,ques_feedback,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions_1,response_instructions_2,response_instructions_3,response_key,response_time,response_time_feedback,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,sac_latency,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions_1,time_instructions_2,time_instructions_3,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,too_late,total_points,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","yes","#646464","no","0","NA","NA","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","(665.7999877929688, 568.5999755859375)","278113","(855.0, 447.20001220703125)","277838","(632.2999877929688, 708.9000244140625)","278279","(658.5, 573.0)","278253","2","#D8D800","338","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","801","NA","48292","31094","83582","775","NA","NA","legacy","experiment","1","odd","legacy","0","south_west","2174","2174","271035","277006","278819","NA","107978","156271","187366","279350","270951","270948","270951","279350","270951","277136","2174","271035","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","1","NA","NA","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","(616.2000122070312, 657.0999755859375)","281599","(844.4000244140625, 512.0999755859375)","281560","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","550","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","294","NA","48292","31094","83582","255","NA","NA","legacy","experiment","1","odd","legacy","1","south_west","2174","2174","279384","280622","282137","NA","107978","156271","187366","282659","270951","270948","270951","282659","270951","280751","2174","279384","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","2","NA","NA","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","(654.7999877929688, 290.70001220703125)","285359","(845.9000244140625, 516.2000122070312)","285314","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","371","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","313","NA","48292","31094","83582","268","NA","NA","legacy","experiment","1","odd","legacy","1","north_west","2174","2174","282690","284542","285897","NA","107978","156271","187366","286418","270951","270948","270951","286418","270951","284672","2174","282690","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","3","NA","NA","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","0","0","3","0","0","0","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","(690.5, 374.20001220703125)","288327","(835.9000244140625, 510.6000061035156)","288296","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","249","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","331","NA","48292","31094","83582","300","NA","NA","legacy","experiment","1","odd","legacy","1","north_west","2174","2174","286449","287613","288865","NA","107978","156271","187366","289394","270951","270948","270951","289394","270951","287743","2174","286449","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","4","NA","NA","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","0","0","4","0","0","0","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","(662.5, 293.70001220703125)","291248","(840.7000122070312, 487.20001220703125)","291203","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","677","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","323","NA","48292","31094","83582","278","NA","NA","legacy","experiment","1","odd","legacy","1","north_west","2174","2174","289424","290109","291786","NA","107978","156271","187366","292316","270951","270948","270951","292316","270951","290245","2174","289424","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","5","NA","NA","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","0","0","5","0","0","0","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","(659.2999877929688, 329.3999938964844)","293956","(834.4000244140625, 512.0999755859375)","293913","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","305","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","310","NA","48292","31094","83582","267","NA","NA","legacy","experiment","1","odd","legacy","1","north_west","2174","2174","292346","293205","294494","NA","107978","156271","187366","295023","270951","270948","270951","295023","270951","293337","2174","292346","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","6","NA","NA","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","0","0","6","0","0","0","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","(1091.9000244140625, 707.7000122070312)","297031","(843.7000122070312, 520.5)","296988","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","541","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","323","NA","48292","31094","83582","280","NA","NA","legacy","experiment","1","odd","legacy","1","south_east","2174","2174","295053","296030","297569","NA","107978","156271","187366","298099","270951","270948","270951","298099","270951","296164","2174","295053","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","7","NA","NA","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","0","0","7","0","0","0","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","(1067.5, 691.0999755859375)","299598","(837.5999755859375, 515.2999877929688)","299536","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","272","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","350","NA","48292","31094","83582","288","NA","NA","legacy","experiment","1","odd","legacy","1","south_east","2174","2174","298129","298838","300136","NA","107978","156271","187366","300672","270951","270948","270951","300672","270951","298973","2174","298129","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","8","NA","NA","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","0","0","8","0","0","0","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","(986.7000122070312, 689.0999755859375)","302561","(814.2999877929688, 503.79998779296875)","302520","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","729","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","289","NA","48292","31094","83582","248","NA","NA","legacy","experiment","1","odd","legacy","1","south_east","2174","2174","300702","301406","303099","NA","107978","156271","187366","303619","270951","270948","270951","303619","270951","301540","2174","300702","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","9","NA","NA","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","0","0","9","0","0","0","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","(1109.5999755859375, 715.7000122070312)","305222","(848.0, 504.0)","305183","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","618","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","252","NA","48292","31094","83582","213","NA","NA","legacy","experiment","1","odd","legacy","1","south_east","2174","2174","303649","304218","305760","NA","107978","156271","187366","306291","270951","270948","270951","306291","270951","304349","2174","303649","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","10","NA","NA","NA","NA","legacy","NA","0","relative","0","0","10","10","10","NA","0","0","0","0","10","0","0","0","0","0","0","10","0","10","0","10","NA","Logs experimental data","NA","(1094.699951171875, 695.5)","307687","(836.2000122070312, 530.9000244140625)","307633","(1062.0999755859375, 375.5)","307845","(1097.4000244140625, 712.2999877929688)","307789","2","#D8D800","366","NA","no","mono","no","18","NA","white","1050","north_west","north_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","south_west","north_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","433","NA","48292","31094","83582","377","NA","NA","legacy","experiment","1","odd","legacy","0","north_east","2174","2174","306321","306909","308384","NA","107978","156271","187366","308913","270951","270948","270951","308913","270951","307043","2174","306321","New experiment","1","0","NA","no","yes","1680","NA","NA"
