_prepare,_run,answer,auto_log,background,bidi,break_if,c_target,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_instructions,count_instructions2,count_logger,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,ignore_missing,item,keyboard_backend,log_msg,low_location,mode,mouse_backend,order,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions,response_instructions2,response_key,response_time,response_time_feedback,response_time_instructions,response_time_instructions2,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_duration,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions,time_instructions2,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","687","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","left","NA","left","right","left","8367","NA","11173","8367","727","NA","NA","legacy","experiment","18","even","legacy","1","200","south_east","1945","1947","61309","62785","64339","NA","41693","52868","64883","61237","61235","61237","64883","61237","62920","1947","61309","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","1","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","609","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","left","right","right","8367","NA","11173","8367","446","NA","NA","legacy","experiment","18","even","legacy","0","200","north_west","1945","1947","64943","65632","66828","NA","41693","52868","67359","61237","61235","61237","67359","61237","65767","1947","64943","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","2","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","356","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","left","right","right","8367","NA","11173","8367","505","NA","NA","legacy","experiment","18","even","legacy","0","200","north_west","1945","1947","67396","68173","69172","NA","41693","52868","69701","61237","61235","61237","69701","61237","68305","1947","67396","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","3","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","607","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","left","right","right","8367","NA","11173","8367","401","NA","NA","legacy","experiment","18","even","legacy","1","200","south_west","1945","1947","69738","71280","72426","NA","41693","52868","72948","61237","61235","61237","72948","61237","71415","1947","69738","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","4","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","291","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","left","right","right","8367","NA","11173","8367","452","NA","NA","legacy","experiment","18","even","legacy","1","200","south_east","1945","1947","72984","73520","74402","NA","41693","52868","74933","61237","61235","61237","74933","61237","73656","1947","72984","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","5","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","628","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","left","right","right","8367","NA","11173","8367","381","NA","NA","legacy","experiment","18","even","legacy","1","200","south_east","1945","1947","74969","75375","76522","NA","41693","52868","77044","61237","61235","61237","77044","61237","75510","1947","74969","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","6","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","643","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","left","right","right","8367","NA","11173","8367","406","NA","NA","legacy","experiment","18","even","legacy","1","200","north_west","1945","1947","77080","77568","78755","NA","41693","52868","79286","61237","61235","61237","79286","61237","77702","1947","77080","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","7","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","314","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","left","NA","left","right","left","8367","NA","11173","8367","420","NA","NA","legacy","experiment","18","even","legacy","1","200","south_east","1945","1947","79321","79699","80571","NA","41693","52868","81102","61237","61235","61237","81102","61237","79833","1947","79321","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","8","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","243","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","left","right","right","8367","NA","11173","8367","425","NA","NA","legacy","experiment","18","even","legacy","1","200","north_east","1945","1947","81139","81637","82443","NA","41693","52868","82974","61237","61235","61237","82974","61237","81770","1947","81139","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","9","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","471","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","left","NA","left","right","left","8367","NA","11173","8367","441","NA","NA","legacy","experiment","18","even","legacy","1","200","south_east","1945","1947","83010","83440","84491","NA","41693","52868","85014","61237","61235","61237","85014","61237","83574","1947","83010","New experiment","NA","no","yes","1680","NA","NA"
