_prepare,_run,auto_log,background,bidi,block_trial_nr,bonus,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_high_reward,count_instructions_1,count_instructions_2,count_instructions_3,count_logger,count_low_reward,count_neut1_reward,count_neut2_reward,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,em1_end_position,em1_end_time,em1_start_position,em1_start_time,em2_end_position,em2_end_time,em2_start_position,em2_start_time,emcount,feedback_color,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,high_reward_location,ignore_missing,item,keyboard_backend,log_msg,looked_distractor,low_location,low_reward_location,mode,mouse_backend,neut1_location,neut2_location,not_fixated,order,points_received,ques_feedback,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions_1,response_instructions_2,response_instructions_3,response_key,response_time,response_time_feedback,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,sac_latency,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions_1,time_instructions_2,time_instructions_3,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,too_late,total_points,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","yes","#646464","no","0","NA","NA","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","(633.7000122070312, 335.70001220703125)","213789","(832.2000122070312, 525.2999877929688)","213751","(992.7999877929688, 648.0999755859375)","214107","(632.5, 322.5)","214053","2","#D8D800","653","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","682","NA","42559","6","131662","628","NA","NA","legacy","experiment","19","odd","legacy","0","south_east","2098","2100","208857","212633","214646","NA","34544","77105","77113","215175","208777","208775","208777","215175","208777","212769","2100","208857","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","1","NA","NA","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","(1083.0, 700.9000244140625)","216879","(840.5, 514.7000122070312)","216844","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","236","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","373","NA","42559","6","131662","338","NA","NA","legacy","experiment","19","odd","legacy","1","south_east","2098","2100","215209","216131","217417","NA","34544","77105","77113","217947","208777","208775","208777","217947","208777","216267","2100","215208","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","2","NA","NA","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","(630.5999755859375, 699.7000122070312)","219687","(842.7999877929688, 515.5)","219650","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","375","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","319","NA","42559","6","131662","282","NA","NA","legacy","experiment","19","odd","legacy","1","south_west","2098","2100","217977","218857","220225","NA","34544","77105","77113","220744","208777","208775","208777","220744","208777","218990","2100","217977","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","3","NA","NA","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","0","0","3","0","0","0","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","(820.2999877929688, 572.9000244140625)","222666","(727.9000244140625, 632.5)","222642","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","770","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","1","NA","0","na","NA","0","NA","0","NA","v","space","space","0","315","NA","42559","6","131662","291","NA","NA","legacy","experiment","19","odd","legacy","0","north_east","2098","2100","220774","221443","223206","NA","34544","77105","77113","223738","208777","208775","208777","223738","208777","221577","2100","220774","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","4","NA","NA","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","0","0","4","0","0","0","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","(652.2999877929688, 697.2000122070312)","226530","(836.9000244140625, 519.7000122070312)","226492","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","624","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","262","NA","42559","6","131662","224","NA","NA","legacy","experiment","19","odd","legacy","1","south_west","2098","2100","223768","225507","227068","NA","34544","77105","77113","227606","208777","208775","208777","227606","208777","225640","2100","223768","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","5","NA","NA","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","0","0","5","0","0","0","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","(1041.9000244140625, 369.8999938964844)","229386","(846.2000122070312, 525.7000122070312)","229352","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","739","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","282","NA","42559","6","131662","248","NA","NA","legacy","experiment","19","odd","legacy","1","north_east","2098","2100","227636","228228","229924","NA","34544","77105","77113","230455","208777","208775","208777","230455","208777","228361","2100","227636","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","6","NA","NA","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","0","0","6","0","0","0","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","(660.4000244140625, 679.2000122070312)","232251","(828.2000122070312, 519.7999877929688)","232215","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","385","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","291","NA","42559","6","131662","255","NA","NA","legacy","experiment","19","odd","legacy","1","south_west","2098","2100","230484","231441","232789","NA","34544","77105","77113","233320","208777","208775","208777","233320","208777","231571","2100","230484","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","7","NA","NA","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","0","0","7","0","0","0","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","(651.5, 757.0999755859375)","235073","(834.4000244140625, 516.2000122070312)","235036","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","785","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","258","NA","42559","6","131662","221","NA","NA","legacy","experiment","19","odd","legacy","1","south_west","2098","2100","233349","233891","235612","NA","34544","77105","77113","236136","208777","208775","208777","236136","208777","234025","2100","233349","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","8","NA","NA","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","0","0","8","0","0","0","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","(644.2999877929688, 383.1000061035156)","238227","(846.0, 519.4000244140625)","238190","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","784","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","310","NA","42559","6","131662","273","NA","NA","legacy","experiment","19","odd","legacy","1","north_west","2098","2100","236165","236995","238766","NA","34544","77105","77113","239298","208777","208775","208777","239298","208777","237130","2100","236165","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","9","NA","NA","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","0","0","9","0","0","0","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","(1032.9000244140625, 377.20001220703125)","241089","(842.5999755859375, 527.2000122070312)","241054","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","377","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","v","space","space","0","290","NA","42559","6","131662","255","NA","NA","legacy","experiment","19","odd","legacy","1","north_east","2098","2100","239327","240288","241627","NA","34544","77105","77113","242158","208777","208775","208777","242158","208777","240419","2100","239327","New experiment","0","0","NA","no","yes","1680","NA","NA"
