High_1,High_2,High_3,High_4,Low_1,Low_2,Low_3,Low_4,No1_1,No1_2,No1_3,No1_4,No2_1,No2_2,No2_3,No2_4
242.818181818,235.833333333,235.565217391,231.346153846,258.2,253.307692308,256.909090909,251.772727273,256.588235294,241.869565217,249.173913043,242.583333333,239.714285714,240.777777778,245.136363636,236.714285714
294.793103448,288.433333333,278.103448276,286.25,328.37037037,312.75862069,295.551724138,293.133333333,346.821428571,356.0,351.538461538,327.8,298.533333333,309.066666667,291.857142857,277.3
290.52173913,285.875,255.678571429,257.416666667,269.434782609,271.615384615,254.875,251.454545455,271.916666667,262.380952381,256.555555556,242.62962963,286.0,278.260869565,264.952380952,278.041666667
253.785714286,263.25,252.964285714,246.384615385,259.586206897,255.620689655,259.413793103,256.862068966,255.928571429,260.785714286,251.851851852,243.964285714,245.074074074,256.0,250.192307692,253.04
305.678571429,286.423076923,263.038461538,279.961538462,287.380952381,263.896551724,264.517241379,254.0,335.904761905,314.869565217,279.24,261.84,337.826086957,334.958333333,290.956521739,325.08
275.862068966,288.263157895,316.15,281.607142857,284.107142857,287.642857143,290.391304348,271.448275862,306.625,312.576923077,327.192307692,320.052631579,291.307692308,310.454545455,307.851851852,309.214285714
229.8,264.142857143,258.8,282.923076923,240.827586207,273.5,266.642857143,286.555555556,233.740740741,250.9,265.185185185,261.655172414,234.448275862,253.892857143,255.466666667,266.714285714
263.409090909,272.916666667,288.409090909,290.961538462,291.777777778,271.2,277.608695652,278.208333333,240.038461538,248.909090909,266.423076923,279.214285714,230.083333333,267.36,279.086956522,268.518518519
262.666666667,280.379310345,274.923076923,263.75862069,287.785714286,315.846153846,263.111111111,283.655172414,296.653846154,307.739130435,299.464285714,314.185185185,279.458333333,263.541666667,277.666666667,254.285714286
281.095238095,279.48,278.0,269.714285714,308.92,303.5,299.296296296,297.086956522,308.045454545,293.608695652,287.461538462,289.333333333,281.653846154,284.545454545,278.541666667,276.740740741
340.5,338.035714286,330.413793103,331.038461538,334.944444444,344.043478261,363.538461538,351.894736842,311.620689655,317.666666667,358.482758621,332.068965517,334.555555556,331.038461538,334.909090909,328.04
257.047619048,222.863636364,241.208333333,224.47826087,281.541666667,253.655172414,263.2,245.263157895,265.48,252.6,247.863636364,251.56,270.125,261.105263158,265.285714286,257.64
255.652173913,250.0,260.583333333,260.407407407,243.72,264.777777778,252.0,236.666666667,246.739130435,260.423076923,270.538461538,251.090909091,236.04,242.076923077,264.083333333,244.52
216.4,221.0,224.533333333,219.166666667,230.928571429,228.965517241,227.0,222.6,240.791666667,239.956521739,247.962962963,246.703703704,241.148148148,245.035714286,264.037037037,261.821428571
290.894736842,263.6,261.269230769,247.75862069,303.666666667,264.941176471,282.541666667,270.846153846,261.111111111,241.071428571,257.888888889,254.413793103,265.375,259.75,277.952380952,281.96
267.565217391,275.444444444,266.857142857,255.24,288.095238095,251.842105263,245.647058824,224.428571429,274.555555556,241.444444444,293.666666667,242.736842105,247.217391304,237.476190476,270.421052632,248.875
252.814814815,271.944444444,269.238095238,256.318181818,302.434782609,264.944444444,303.2,272.0,318.722222222,304.6,314.294117647,310.0,255.047619048,275.95,280.421052632,293.384615385
272.80952381,264.115384615,253.461538462,251.923076923,265.185185185,245.37037037,245.461538462,245.793103448,275.92,257.666666667,253.538461538,274.535714286,264.296296296,271.0,254.068965517,238.034482759
251.857142857,272.1,246.214285714,257.074074074,231.714285714,250.185185185,234.6,234.0,250.206896552,240.833333333,236.793103448,256.72,263.857142857,253.965517241,249.333333333,267.777777778
286.807692308,279.285714286,298.185185185,286.846153846,290.703703704,288.5,298.037037037,314.304347826,273.928571429,295.571428571,296.0,329.576923077,299.172413793,303.96,291.222222222,306.142857143
287.961538462,305.96,282.75,284.666666667,305.80952381,330.136363636,305.5,310.333333333,280.409090909,307.576923077,325.277777778,332.454545455,323.571428571,353.222222222,353.363636364,345.333333333
319.62962963,328.464285714,328.321428571,323.807692308,318.962962963,300.75,298.68,298.448275862,346.1,338.666666667,329.851851852,303.037037037,317.642857143,310.655172414,319.206896552,316.933333333
267.346153846,282.344827586,267.833333333,279.464285714,265.230769231,280.346153846,272.068965517,276.16,266.136363636,295.391304348,286.814814815,283.666666667,261.814814815,265.380952381,278.103448276,273.615384615
329.538461538,304.178571429,300.592592593,305.071428571,303.777777778,297.84,298.125,304.32,289.8,313.56,295.08,314.833333333,308.074074074,311.0,311.923076923,329.964285714
