RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_ANGLE,CURRENT_SAC_END_TIME,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,EYE_USED,PREVIOUS_FIX_BLINK_AROUND,block_number,block_trial_number,emcount,fix_to_stim,high_location,looked_distractor,low_location,not_fixated,points_received,ques_trial,response_key,response_time,sac_latency,target_correct,target_position,too_late,total_points,trial_number
SRC01TR,6.91,121.31,FALSE,UP,57,95.96,931,1062.3,375.4,2,264.73,875,1097.4,712.4,RIGHT,NONE,0,10,2,366,north_west,0,south_east,0,0,0,0,433,377,0,north_east,1,0,10
SRC01TR,0.58,47.92,FALSE,UP,12,79.1,1111,1065,334.6,3,48.36,1100,1059.7,362.1,RIGHT,NONE,0,10,2,366,north_west,0,south_east,0,0,0,0,433,377,0,north_east,1,0,10
SRC01TR,6.44,123.88,FALSE,RIGHT,52,-40.93,1085,1077.7,737.2,1,359.68,1034,840.2,530.4,RIGHT,NONE,0,11,1,693,north_west,0,south_east,0,0,0,0,261,210,1,south_east,0,0,11
SRC01TR,0.95,50.11,FALSE,LEFT,19,141.93,1253,1052.9,724.8,2,70.75,1235,1089.7,753.8,RIGHT,NONE,0,11,1,693,north_west,0,south_east,0,0,0,0,261,210,1,south_east,0,0,11
SRC01TR,0.69,31.5,FALSE,RIGHT,22,31.53,1470,1081.3,729,3,74.71,1449,1052.3,746.9,RIGHT,NONE,0,11,1,693,north_west,0,south_east,0,0,0,0,261,210,1,south_east,0,0,11
SRC01TR,0.35,50.58,FALSE,.,7,-160.63,1520,1047.6,752.4,4,46.01,1514,1064,746.6,RIGHT,NONE,0,11,1,693,north_west,0,south_east,0,0,0,0,261,210,1,south_east,0,0,11
SRC01TR,6.79,144.53,FALSE,RIGHT,47,43.83,692,1074.2,294.6,1,305.68,646,835.8,523.7,RIGHT,NONE,0,12,1,247,north_west,0,south_east,0,0,0,0,313,267,1,north_east,0,0,12
SRC01TR,0.77,55.35,FALSE,RIGHT,14,7.02,409,869.6,505.3,1,60.94,396,832.3,509.9,RIGHT,NONE,0,13,2,662,north_west,0,south_east,0,0,0,0,360,299,0,north_west,1,0,13
SRC01TR,5.18,107.89,FALSE,RIGHT,48,-39.79,1039,1057.1,674.4,2,307.82,992,863.1,512.5,RIGHT,NONE,0,13,2,662,north_west,0,south_east,0,0,0,0,360,299,0,north_west,1,0,13
SRC01TR,10.09,162.77,FALSE,LEFT,62,135.9,1158,703.9,346.9,3,340.72,1097,1057.2,690.3,RIGHT,NONE,0,13,2,662,north_west,0,south_east,0,0,0,0,360,299,0,north_west,1,0,13
SRC01TR,1.43,71.71,FALSE,UP,20,132.79,1312,643.9,302,4,110.21,1293,691.3,353.2,RIGHT,NONE,0,13,2,662,north_west,0,south_east,0,0,0,0,360,299,0,north_west,1,0,13
SRC01TR,5.78,137.57,FALSE,UP,42,132.33,924,647.4,314.4,1,253.57,883,836.5,522.2,RIGHT,NONE,0,14,1,534,north_west,0,south_east,0,0,0,0,267,226,1,north_west,0,0,14
SRC01TR,0.73,52.36,FALSE,LEFT,14,177.43,1300,595.6,332.4,2,56.18,1287,631.3,334,RIGHT,NONE,0,14,1,534,north_west,0,south_east,0,0,0,0,267,226,1,north_west,0,0,14
SRC01TR,5.9,118.02,FALSE,RIGHT,50,-39.06,954,1059.3,722.4,1,299.79,905,835.7,540.2,RIGHT,NONE,0,15,1,523,north_west,0,south_east,0,0,0,0,296,247,1,south_east,0,0,15
SRC01TR,0.16,6.88,FALSE,.,23,-92.22,1276,1049.3,729.4,2,49.98,1254,1049.6,721.6,RIGHT,NONE,0,15,1,523,north_west,0,south_east,0,0,0,0,296,247,1,south_east,0,0,15
SRC01TR,5.52,112.7,FALSE,LEFT,49,-146.46,675,627,687,1,257.89,627,851.4,537.8,RIGHT,NONE,0,16,1,224,north_west,0,south_east,0,0,0,0,318,269,1,south_west,0,0,16
SRC01TR,0.96,43.74,FALSE,RIGHT,22,-17.16,871,654,726.5,2,87.7,850,608.9,712.5,RIGHT,NONE,0,16,1,224,north_west,0,south_east,0,0,0,0,318,269,1,south_west,0,0,16
SRC01TR,5.78,140.86,FALSE,RIGHT,41,-34.08,718,1060.2,701.1,1,278.22,678,827,542.7,RIGHT,NONE,0,17,2,375,north_west,0,south_east,0,0,0,0,356,311,0,north_east,1,0,17
SRC01TR,8.13,176.72,FALSE,UP,46,87.71,863,1054.7,305.1,2,311.33,818,1038.8,702.7,RIGHT,NONE,0,17,2,375,north_west,0,south_east,0,0,0,0,356,311,0,north_east,1,0,17
SRC01TR,5.98,122.01,FALSE,RIGHT,49,-41.08,913,1052.5,716.5,1,345.14,865,832.8,524.2,RIGHT,NONE,0,18,1,547,north_west,0,south_east,0,0,0,0,233,184,1,south_east,0,0,18
SRC01TR,6.15,130.81,FALSE,UP,47,128.4,828,639.1,284.4,1,224.56,782,824.7,518.8,RIGHT,NONE,0,19,1,446,north_west,0,south_east,0,0,0,0,260,214,1,north_west,0,0,19
SRC01TR,0.44,22.97,FALSE,.,19,9.2,1156,632.2,287.1,2,58.4,1138,611.2,290.5,RIGHT,NONE,0,19,1,446,north_west,0,south_east,0,0,0,0,260,214,1,north_west,0,0,19
SRC01TR,0.4,22.49,FALSE,.,18,3.21,449,834.6,527,1,45.35,432,815,528.1,RIGHT,NONE,0,20,1,653,north_west,0,south_east,0,0,0,0,259,214,1,north_west,0,0,20
SRC01TR,6.55,142.49,FALSE,UP,46,127.63,1034,619.4,261.8,2,243.19,989,814.1,514.6,RIGHT,NONE,0,20,1,653,north_west,0,south_east,0,0,0,0,259,214,1,north_west,0,0,20
SRC01TR,0.66,50.86,FALSE,RIGHT,13,-2.67,1336,646.4,295.4,3,54.79,1324,614.2,293.9,RIGHT,NONE,0,20,1,653,north_west,0,south_east,0,0,0,0,259,214,1,north_west,0,0,20
SRC01TR,5.33,129.95,FALSE,UP,41,130.8,867,654.3,317.4,1,208.57,827,823.5,513.6,RIGHT,NONE,0,21,1,446,north_west,0,south_east,0,0,0,0,286,245,1,north_west,0,0,21
SRC01TR,5.37,131.08,FALSE,UP,41,133.77,1040,660.8,324,1,223.73,1000,841.3,512.8,RIGHT,NONE,0,22,1,622,north_west,0,south_east,0,0,0,0,283,244,1,north_west,0,0,22
SRC01TR,0.62,30.77,FALSE,UP,20,102.14,1317,629.4,305.6,2,57.78,1298,635.7,334.9,RIGHT,NONE,0,22,1,622,north_west,0,south_east,0,0,0,0,283,244,1,north_west,0,0,22
SRC01TR,6.38,138.65,FALSE,RIGHT,46,39.94,962,1079.8,305.6,1,271.79,917,841.9,505,RIGHT,NONE,0,23,1,549,north_west,0,south_east,0,0,0,0,279,234,1,north_east,0,0,23
SRC01TR,0.46,28.64,FALSE,.,16,104.53,1235,1054,311,2,45,1220,1059.6,332.6,RIGHT,NONE,0,23,1,549,north_west,0,south_east,0,0,0,0,279,234,1,north_east,0,0,23
SRC01TR,0.47,24.79,FALSE,.,19,165.32,466,819.5,512.5,1,48.74,448,841.6,518.3,RIGHT,NONE,0,24,1,523,north_west,0,south_east,0,0,0,0,274,229,1,north_east,0,0,24
SRC01TR,0.72,51.71,FALSE,RIGHT,14,1.63,657,859.9,507.6,2,56.51,644,824.8,508.6,RIGHT,NONE,0,24,1,523,north_west,0,south_east,0,0,0,0,274,229,1,north_east,0,0,24
SRC01TR,6.5,141.21,FALSE,RIGHT,46,41.77,928,1067.3,292.8,3,290.45,883,831.6,503.5,RIGHT,NONE,0,24,1,523,north_west,0,south_east,0,0,0,0,274,229,1,north_east,0,0,24
SRC01TR,0.33,17.2,FALSE,.,19,63.94,1189,1058.5,308.5,4,46.88,1171,1051.5,322.8,RIGHT,NONE,0,24,1,523,north_west,0,south_east,0,0,0,0,274,229,1,north_east,0,0,24
SRC01TR,0.22,37.18,FALSE,.,6,171.51,457,816.3,527.6,1,32.13,452,827,529.2,RIGHT,NONE,0,25,1,385,north_west,0,south_east,0,0,0,0,251,209,1,north_west,0,0,25
SRC01TR,5.91,137.43,FALSE,UP,43,128.79,770,646.2,304.2,2,218.17,728,826.1,528.3,RIGHT,NONE,0,25,1,385,north_west,0,south_east,0,0,0,0,251,209,1,north_west,0,0,25
SRC01TR,0.98,54.5,FALSE,LEFT,18,137.19,324,814.5,500.9,1,60.58,307,849.4,533.3,RIGHT,NONE,0,26,1,408,north_west,0,south_east,0,0,0,0,227,182,1,north_east,0,0,26
SRC01TR,6.97,151.59,FALSE,RIGHT,46,32.06,768,1083.2,323.6,2,284.98,723,795.7,503.7,RIGHT,NONE,0,26,1,408,north_west,0,south_east,0,0,0,0,227,182,1,north_east,0,0,26
SRC01TR,4.74,124.83,FALSE,RIGHT,38,6.03,951,1069.1,520.8,1,218.68,914,839.6,545.1,RIGHT,NONE,0,27,2,593,north_west,0,south_east,0,0,0,0,336,299,0,south_east,1,0,27
SRC01TR,3.98,104.71,FALSE,DOWN,38,-84.01,1062,1055.6,728.2,2,207.31,1025,1035.3,534.1,RIGHT,NONE,0,27,2,593,north_west,0,south_east,0,0,0,0,336,299,0,south_east,1,0,27
SRC01TR,5.52,108.25,FALSE,RIGHT,51,-44.97,935,1019.7,721.5,1,316.41,885,829.3,530.5,RIGHT,NONE,0,28,1,479,north_west,0,south_east,0,0,0,0,335,285,1,south_east,0,0,28
SRC01TR,0.8,33.25,FALSE,RIGHT,24,4.8,1149,1056,751.2,2,93.28,1126,1017,754.5,RIGHT,NONE,0,28,1,479,north_west,0,south_east,0,0,0,0,335,285,1,south_east,0,0,28
SRC01TR,5.52,122.66,FALSE,LEFT,45,139.44,935,634.4,362.2,1,192.45,891,838.2,536.8,RIGHT,NONE,0,29,1,486,north_west,0,south_east,0,0,0,0,315,271,1,north_west,0,0,29
SRC01TR,0.91,53.32,FALSE,UP,17,54.87,1123,642.1,335,2,61.63,1107,616.7,371.1,RIGHT,NONE,0,29,1,486,north_west,0,south_east,0,0,0,0,315,271,1,north_west,0,0,29
SRC01TR,5.57,113.66,FALSE,LEFT,49,-142.13,835,632,683,1,309.54,787,846.1,515.8,RIGHT,NONE,0,30,1,379,north_west,0,south_east,0,0,0,0,323,275,1,south_west,0,0,30
SRC01TR,1.06,48.27,FALSE,RIGHT,22,-10.57,1112,670.3,731.3,2,96.05,1091,619.2,721.7,RIGHT,NONE,0,30,1,379,north_west,0,south_east,0,0,0,0,323,275,1,south_west,0,0,30
SRC01TR,2.18,70.27,FALSE,DOWN,31,-134.78,1028,744.9,595.7,1,109.1,998,819.4,520.4,RIGHT,NONE,0,31,2,668,north_west,0,south_east,0,0,0,0,310,271,0,south_west,1,0,31
SRC01TR,2.78,69.58,FALSE,LEFT,40,-143.88,1113,633.8,666.1,2,246.38,1074,743.4,585.8,RIGHT,NONE,0,31,2,668,north_west,0,south_east,0,0,0,0,310,271,0,south_west,1,0,31
SRC01TR,6.13,117.83,FALSE,RIGHT,52,-33.32,821,1076.2,693.3,1,268.99,770,826.6,528.7,RIGHT,NONE,0,32,1,367,north_west,0,south_east,0,0,0,0,320,269,1,south_east,0,0,32
SRC01TR,0.59,59.28,FALSE,LEFT,10,-150.48,985,1051.1,729.1,2,52.25,976,1076.4,714.7,RIGHT,NONE,0,32,1,367,north_west,0,south_east,0,0,0,0,320,269,1,south_east,0,0,32
SRC01TR,0.31,38.71,FALSE,.,8,-161,425,814.6,524.9,1,35.61,418,828.8,520,RIGHT,NONE,0,33,1,664,north_west,0,south_east,0,0,0,0,259,206,1,north_west,0,0,33
SRC01TR,6.2,114.76,FALSE,UP,54,131.08,1057,614.6,292.2,2,219.95,1004,812.7,519.7,RIGHT,NONE,0,33,1,664,north_west,0,south_east,0,0,0,0,259,206,1,north_west,0,0,33
SRC01TR,1.04,43.29,FALSE,RIGHT,24,5.67,1335,650.8,289.5,3,92.53,1312,600.4,294.5,RIGHT,NONE,0,33,1,664,north_west,0,south_east,0,0,0,0,259,206,1,north_west,0,0,33
SRC01TR,0.09,5.76,FALSE,.,16,-10.28,454,856.8,527.2,1,29.01,439,852.4,526.4,RIGHT,NONE,0,34,2,654,north_west,0,south_east,0,0,0,0,379,338,0,south_west,1,0,34
SRC01TR,5.75,112.67,FALSE,RIGHT,51,-39.23,1027,1066.2,692.5,2,319.46,977,849.2,514.8,RIGHT,NONE,0,34,2,654,north_west,0,south_east,0,0,0,0,379,338,0,south_west,1,0,34
SRC01TR,8.67,206.47,FALSE,LEFT,42,177.59,1167,642.4,685,3,352.15,1126,1066.5,703,RIGHT,NONE,0,34,2,654,north_west,0,south_east,0,0,0,0,379,338,0,south_west,1,0,34
SRC01TR,1.23,58.39,FALSE,RIGHT,21,-15.16,481,892.1,548.3,1,94.48,461,834.7,532.7,RIGHT,NONE,0,35,2,750,north_west,0,south_east,0,0,0,0,369,322,0,north_east,1,0,35
SRC01TR,0.88,62.53,FALSE,LEFT,14,156.04,651,831.7,533.6,2,67.29,638,870.5,550.9,RIGHT,NONE,0,35,2,750,north_west,0,south_east,0,0,0,0,369,322,0,north_east,1,0,35
SRC01TR,4.95,137.54,FALSE,RIGHT,36,-20.75,1140,1049.1,619.6,3,236.89,1105,823.6,534,RIGHT,NONE,0,35,2,750,north_west,0,south_east,0,0,0,0,369,322,0,north_east,1,0,35
SRC01TR,6.55,136.44,FALSE,UP,48,85.46,1251,1053.4,292.7,4,220.04,1204,1028.1,611.3,RIGHT,NONE,0,35,2,750,north_west,0,south_east,0,0,0,0,369,322,0,north_east,1,0,35
SRC01TR,0.35,43.89,FALSE,.,8,167.13,468,821.6,522.3,1,39.54,461,838.2,526.1,RIGHT,NONE,0,36,1,726,north_west,0,south_east,0,0,0,0,261,214,1,north_west,0,0,36
SRC01TR,0.56,30.84,FALSE,RIGHT,18,11.33,671,853.5,518.2,2,57.9,654,827.1,523.5,RIGHT,NONE,0,36,1,726,north_west,0,south_east,0,0,0,0,261,214,1,north_west,0,0,36
