_prepare,_run,auto_log,background,bidi,block_trial_nr,bonus,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_high_reward,count_instructions_1,count_instructions_2,count_instructions_3,count_logger,count_low_reward,count_neut1_reward,count_neut2_reward,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,em1_end_position,em1_end_time,em1_start_position,em1_start_time,em2_end_position,em2_end_time,em2_start_position,em2_start_time,emcount,feedback_color,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,high_reward_location,ignore_missing,item,keyboard_backend,log_msg,looked_distractor,low_location,low_reward_location,mode,mouse_backend,neut1_location,neut2_location,not_fixated,order,points_received,ques_feedback,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions_1,response_instructions_2,response_instructions_3,response_key,response_time,response_time_feedback,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,sac_latency,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions_1,time_instructions_2,time_instructions_3,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,too_late,total_points,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","yes","#646464","no","0","NA","NA","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","(648.7000122070312, 300.29998779296875)","132913","(841.5, 517.0999755859375)","132864","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","258","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","408","NA","33712","27902","20654","359","NA","NA","legacy","experiment","12","even","legacy","1","north_west","2104","2105","127273","132109","133452","NA","44923","78636","106539","133970","127196","127194","127196","133970","127196","132243","2105","127273","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","1","NA","NA","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","(630.5, 337.6000061035156)","137359","(838.7999877929688, 532.4000244140625)","137308","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","471","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","313","NA","33712","27902","20654","262","NA","NA","legacy","experiment","12","even","legacy","1","north_west","2104","2105","134004","136437","137897","NA","44923","78636","106539","138431","127196","127194","127196","138431","127196","136571","2105","134004","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","2","NA","NA","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","(682.2000122070312, 708.7000122070312)","140102","(844.0, 516.7999877929688)","140050","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","489","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","373","NA","33712","27902","20654","321","NA","NA","legacy","experiment","12","even","legacy","1","south_west","2104","2105","138461","139101","140640","NA","44923","78636","106539","141171","127196","127194","127196","141171","127196","139235","2105","138461","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","3","NA","NA","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","0","0","3","0","0","0","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","(667.5999755859375, 684.2999877929688)","142819","(844.7999877929688, 519.2999877929688)","142770","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","289","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","385","NA","33712","27902","20654","336","NA","NA","legacy","experiment","12","even","legacy","1","south_west","2104","2105","141201","142013","143357","NA","44923","78636","106539","143883","127196","127194","127196","143883","127196","142141","2105","141201","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","4","NA","NA","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","0","0","4","0","0","0","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","(668.7000122070312, 341.79998779296875)","145972","(867.0999755859375, 533.5999755859375)","145925","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","251","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","355","NA","33712","27902","20654","308","NA","NA","legacy","experiment","12","even","legacy","1","north_west","2104","2105","143913","145228","146511","NA","44923","78636","106539","147044","127196","127194","127196","147044","127196","145362","2105","143913","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","5","NA","NA","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","0","0","5","0","0","0","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","(662.4000244140625, 706.7000122070312)","148646","(846.5, 537.0999755859375)","148596","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","466","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","396","NA","33712","27902","20654","346","NA","NA","legacy","experiment","12","even","legacy","1","south_west","2104","2105","147073","147645","149185","NA","44923","78636","106539","149716","127196","127194","127196","149715","127196","147781","2105","147073","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","6","NA","NA","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","0","0","6","0","0","0","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","(771.4000244140625, 546.7999877929688)","151503","(855.9000244140625, 534.0)","151467","(1045.699951171875, 693.2000122070312)","151613","(757.7000122070312, 543.7000122070312)","151562","2","#D8D800","741","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","378","NA","33712","27902","20654","327","NA","NA","legacy","experiment","12","even","legacy","0","south_east","2104","2105","149745","150357","152152","NA","44923","78636","106539","152682","127196","127194","127196","152682","127196","150490","2105","149745","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","7","NA","NA","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","0","0","7","0","0","0","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","(1039.800048828125, 325.0)","155612","(841.0999755859375, 521.2000122070312)","155564","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","208","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","344","NA","33712","27902","20654","296","NA","NA","legacy","experiment","12","even","legacy","1","north_east","2104","2105","152712","154924","156150","NA","44923","78636","106539","156680","127196","127194","127196","156680","127196","155057","2105","152712","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","8","NA","NA","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","0","0","8","0","0","0","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","(694.9000244140625, 359.20001220703125)","158281","(863.7999877929688, 534.2999877929688)","158231","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","675","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","279","NA","33712","27902","20654","229","NA","NA","legacy","experiment","12","even","legacy","1","north_west","2104","2105","156710","157188","158819","NA","44923","78636","106539","159345","127196","127194","127196","159345","127196","157324","2105","156710","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","9","NA","NA","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","0","0","9","0","0","0","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","(1044.199951171875, 686.0999755859375)","161226","(927.2000122070312, 429.8999938964844)","161175","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","375","NA","no","mono","no","18","NA","white","1050","south_east","south_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","north_east","south_west","1","NA","0","na","NA","0","NA","0","NA","space","space","space","0","349","NA","33712","27902","20654","298","NA","NA","legacy","experiment","12","even","legacy","0","south_east","2104","2105","159375","160365","161766","NA","44923","78636","106539","162289","127196","127194","127196","162289","127196","160499","2105","159375","New experiment","1","0","NA","no","yes","1680","NA","NA"
