_prepare,_run,auto_log,background,bidi,block_trial_nr,bonus,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_high_reward,count_instructions_1,count_instructions_2,count_instructions_3,count_logger,count_low_reward,count_neut1_reward,count_neut2_reward,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,em1_end_position,em1_end_time,em1_start_position,em1_start_time,em2_end_position,em2_end_time,em2_start_position,em2_start_time,emcount,feedback_color,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,high_reward_location,ignore_missing,item,keyboard_backend,log_msg,looked_distractor,low_location,low_reward_location,mode,mouse_backend,neut1_location,neut2_location,not_fixated,order,points_received,ques_feedback,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions_1,response_instructions_2,response_instructions_3,response_key,response_time,response_time_feedback,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,sac_latency,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions_1,time_instructions_2,time_instructions_3,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,too_late,total_points,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","yes","#646464","no","0","NA","NA","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","(1068.699951171875, 750.4000244140625)","214476","(838.9000244140625, 522.2999877929688)","214436","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","284","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","463","NA","56437","27502","49174","423","NA","NA","legacy","experiment","14","even","legacy","1","south_east","1864","1865","179906","213591","215014","NA","46715","103153","130657","215545","179833","179831","179833","215545","179833","213725","1865","179906","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","1","NA","NA","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","(1086.300048828125, 275.3999938964844)","221032","(842.2999877929688, 518.2999877929688)","220987","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","768","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","336","NA","56437","27502","49174","291","NA","NA","legacy","experiment","14","even","legacy","1","north_east","1864","1865","215579","219794","221571","NA","46715","103153","130657","222088","179833","179831","179833","222088","179833","219925","1865","215579","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","2","NA","NA","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","(1070.0999755859375, 724.5)","223735","(839.7999877929688, 508.79998779296875)","223696","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","482","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","367","NA","56437","27502","49174","328","NA","NA","legacy","experiment","14","even","legacy","1","south_east","1864","1865","222118","222745","224273","NA","46715","103153","130657","224804","179833","179831","179833","224804","179833","222882","1865","222118","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","3","NA","NA","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","0","0","3","0","0","0","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","(1090.0, 310.20001220703125)","227411","(832.7999877929688, 518.7000122070312)","227364","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","275","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","386","NA","56437","27502","49174","339","NA","NA","legacy","experiment","14","even","legacy","1","north_east","1864","1865","224834","226612","227949","NA","46715","103153","130657","228474","179833","179831","179833","228474","179833","226747","1865","224834","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","4","NA","NA","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","0","0","4","0","0","0","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","(1062.9000244140625, 815.0)","230396","(845.4000244140625, 505.0)","230352","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","527","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","464","NA","56437","27502","49174","420","NA","NA","legacy","experiment","14","even","legacy","1","south_east","1864","1865","228504","229268","230935","NA","46715","103153","130657","231467","179833","179831","179833","231467","179833","229402","1865","228503","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","5","NA","NA","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","0","0","5","0","0","0","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","(1059.800048828125, 318.3999938964844)","232960","(838.4000244140625, 520.7999877929688)","232916","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","660","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","341","NA","56437","27502","49174","297","NA","NA","legacy","experiment","14","even","legacy","1","north_east","1864","1865","231496","231823","233498","NA","46715","103153","130657","234039","179833","179831","179833","234039","179833","231956","1865","231496","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","6","NA","NA","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","0","0","6","0","0","0","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","(1036.699951171875, 721.4000244140625)","235531","(837.2000122070312, 514.2000122070312)","235493","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","333","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","384","NA","56437","27502","49174","346","NA","NA","legacy","experiment","14","even","legacy","1","south_east","1864","1865","234069","234676","236069","NA","46715","103153","130657","236596","179833","179831","179833","236596","179833","234810","1865","234069","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","7","NA","NA","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","0","0","7","0","0","0","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","(1036.0999755859375, 723.5999755859375)","238285","(838.2000122070312, 535.0999755859375)","238244","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","218","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","396","NA","56437","27502","49174","355","NA","NA","legacy","experiment","14","even","legacy","1","south_east","1864","1865","236626","237535","238824","NA","46715","103153","130657","239353","179833","179831","179833","239353","179833","237667","1865","236625","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","8","NA","NA","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","0","0","8","0","0","0","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","(939.5, 649.7000122070312)","241406","(834.2000122070312, 512.4000244140625)","241377","(599.5999755859375, 710.9000244140625)","241579","(937.9000244140625, 673.2000122070312)","241539","2","#D8D800","707","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","450","NA","56437","27502","49174","410","NA","NA","legacy","experiment","14","even","legacy","0","south_west","1864","1865","239382","240287","242119","NA","46715","103153","130657","242649","179833","179831","179833","242649","179833","240420","1865","239382","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","9","NA","NA","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","0","0","9","0","0","0","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","(1077.9000244140625, 264.1000061035156)","244342","(842.0, 508.70001220703125)","244299","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","651","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","301","NA","56437","27502","49174","258","NA","NA","legacy","experiment","14","even","legacy","1","north_east","1864","1865","242679","243252","244880","NA","46715","103153","130657","245402","179833","179831","179833","245402","179833","243386","1865","242679","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","10","NA","NA","NA","NA","legacy","NA","0","relative","0","0","10","10","10","NA","0","0","0","0","10","0","0","0","0","0","0","10","0","10","0","10","NA","Logs experimental data","NA","(573.9000244140625, 734.5)","246980","(837.5, 520.5)","246941","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","711","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","north_west","north_west","NA","legacy","south_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","325","NA","56437","27502","49174","286","NA","NA","legacy","experiment","14","even","legacy","1","south_west","1864","1865","245431","245808","247517","NA","46715","103153","130657","248041","179833","179831","179833","248041","179833","245941","1865","245431","New experiment","0","0","NA","no","yes","1680","NA","NA"
