_prepare,_run,auto_log,background,bidi,block_trial_nr,bonus,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_high_reward,count_instructions_1,count_instructions_2,count_instructions_3,count_logger,count_low_reward,count_neut1_reward,count_neut2_reward,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,em1_end_position,em1_end_time,em1_start_position,em1_start_time,em2_end_position,em2_end_time,em2_start_position,em2_start_time,emcount,feedback_color,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,high_reward_location,ignore_missing,item,keyboard_backend,log_msg,looked_distractor,low_location,low_reward_location,mode,mouse_backend,neut1_location,neut2_location,not_fixated,order,points_received,ques_feedback,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions_1,response_instructions_2,response_instructions_3,response_key,response_time,response_time_feedback,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,sac_latency,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions_1,time_instructions_2,time_instructions_3,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,too_late,total_points,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","yes","#646464","no","0","NA","NA","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","(630.7000122070312, 772.0999755859375)","217912","(862.0, 522.0999755859375)","217875","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","740","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","489","NA","33621","24646","88678","452","NA","NA","legacy","experiment","11","odd","legacy","1","south_west","1896","1897","215578","216549","218450","NA","68558","102181","126829","218972","215509","215507","215509","218971","215509","216679","1897","215578","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","1","NA","NA","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","(1011.4000244140625, 624.7000122070312)","221876","(849.0999755859375, 528.9000244140625)","221844","(1058.5, 684.7999877929688)","222029","(1022.2999877929688, 633.9000244140625)","222011","2","#D8D800","368","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","481","NA","33621","24646","88678","463","NA","NA","legacy","experiment","11","odd","legacy","0","south_east","1896","1897","219005","221045","222568","NA","68558","102181","126829","223098","215509","215507","215509","223098","215509","221175","1897","219005","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","2","NA","NA","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","(599.7000122070312, 718.5999755859375)","226792","(834.2999877929688, 537.0999755859375)","226756","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","641","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","279","NA","33621","24646","88678","243","NA","NA","legacy","experiment","11","odd","legacy","1","south_west","1896","1897","223128","225734","227330","NA","68558","102181","126829","227852","215509","215507","215509","227852","215509","225867","1897","223128","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","3","NA","NA","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","0","0","3","0","0","0","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","(1065.0, 259.70001220703125)","230118","(853.2000122070312, 526.7000122070312)","230078","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","383","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","325","NA","33621","24646","88678","285","NA","NA","legacy","experiment","11","odd","legacy","1","north_east","1896","1897","227882","229272","230656","NA","68558","102181","126829","231186","215509","215507","215509","231186","215509","229407","1897","227882","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","4","NA","NA","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","0","0","4","0","0","0","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","(1049.9000244140625, 279.0)","234060","(850.5999755859375, 517.2999877929688)","234020","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","792","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","295","NA","33621","24646","88678","255","NA","NA","legacy","experiment","11","odd","legacy","1","north_east","1896","1897","231217","232838","234598","NA","68558","102181","126829","235126","215509","215507","215509","235126","215509","232968","1897","231217","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","5","NA","NA","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","0","0","5","0","0","0","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","(618.0999755859375, 236.3000030517578)","237701","(833.2999877929688, 507.0)","237658","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","552","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","330","NA","33621","24646","88678","287","NA","NA","legacy","experiment","11","odd","legacy","1","north_west","1896","1897","235156","236679","238239","NA","68558","102181","126829","238763","215509","215507","215509","238763","215509","236815","1897","235156","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","6","NA","NA","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","0","0","6","0","0","0","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","(620.4000244140625, 416.1000061035156)","240923","(860.5999755859375, 501.6000061035156)","240888","(647.5, 750.5999755859375)","241077","(653.7999877929688, 471.0)","241036","2","#D8D800","726","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","430","NA","33621","24646","88678","389","NA","NA","legacy","experiment","11","odd","legacy","0","south_west","1896","1897","238793","239782","241616","NA","68558","102181","126829","242147","215509","215507","215509","242147","215509","239917","1897","238793","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","7","NA","NA","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","0","0","7","0","0","0","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","(617.5, 336.6000061035156)","243856","(849.2999877929688, 536.9000244140625)","243817","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","262","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","346","NA","33621","24646","88678","307","NA","NA","legacy","experiment","11","odd","legacy","1","north_west","1896","1897","242177","243110","244394","NA","68558","102181","126829","244926","215509","215507","215509","244926","215509","243246","1897","242177","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","8","NA","NA","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","0","0","8","0","0","0","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","(1037.300048828125, 723.7000122070312)","246952","(840.5, 537.5)","246917","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","282","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","296","NA","33621","24646","88678","261","NA","NA","legacy","experiment","11","odd","legacy","1","south_east","1896","1897","244956","246234","247490","NA","68558","102181","126829","248020","215509","215507","215509","248020","215509","246369","1897","244956","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","9","NA","NA","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","0","0","9","0","0","0","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","(1068.699951171875, 727.0999755859375)","249932","(839.0, 525.0999755859375)","249896","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","332","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","277","NA","33621","24646","88678","241","NA","NA","legacy","experiment","11","odd","legacy","1","south_east","1896","1897","248050","249188","250470","NA","68558","102181","126829","250998","215509","215507","215509","250998","215509","249319","1897","248050","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","10","NA","NA","NA","NA","legacy","NA","0","relative","0","0","10","10","10","NA","0","0","0","0","10","0","0","0","0","0","0","10","0","10","0","10","NA","Logs experimental data","NA","(1072.4000244140625, 281.29998779296875)","252764","(849.5, 522.7000122070312)","252724","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","613","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","309","NA","33621","24646","88678","269","NA","NA","legacy","experiment","11","odd","legacy","1","north_east","1896","1897","251028","251703","253302","NA","68558","102181","126829","253834","215509","215507","215509","253834","215509","251837","1897","251028","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","11","NA","NA","NA","NA","legacy","NA","0","relative","0","0","11","11","11","NA","0","0","0","0","11","0","0","0","0","0","0","11","0","11","0","11","NA","Logs experimental data","NA","(1030.300048828125, 276.1000061035156)","255784","(823.4000244140625, 519.0999755859375)","255743","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","552","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","north_east","north_east","NA","legacy","north_west","south_east","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","304","NA","33621","24646","88678","263","NA","NA","legacy","experiment","11","odd","legacy","1","north_east","1896","1897","253864","254791","256322","NA","68558","102181","126829","256844","215509","215507","215509","256844","215509","254924","1897","253864","New experiment","0","0","NA","no","yes","1680","NA","NA"
