Subject,RT,condition,template_duration
11,0.585,1,0.485
11,0.725,1,0.262
11,0.522,1,0.5
11,0.498,1,0.427
11,0.525,1,0.632
11,0.507,1,0.775
11,0.447,1,0.534
11,0.504,1,0.41
11,0.539,1,0.263
11,0.613,1,0.342
11,0.537,1,0.606
11,0.528,1,0.712
11,0.544,1,0.432
11,0.488,1,0.432
11,0.448,1,0.62
11,0.517,1,0.511
11,0.466,1,0.525
11,0.488,1,0.76
11,0.598,1,0.304
11,0.574,1,0.79
11,0.628,1,0.379
11,0.536,1,0.227
11,0.483,1,0.397
11,0.591,1,0.225
11,0.466,1,0.348
11,0.489,1,0.617
11,0.532,1,0.329
11,0.492,1,0.662
12,0.497,1,0.445
12,0.704,1,0.561
12,0.47,1,0.211
12,0.538,1,0.644
12,0.559,1,0.274
12,0.511,1,0.685
12,0.398,1,0.283
12,0.567,1,0.686
12,0.49,1,0.217
12,0.49,1,0.432
12,0.488,1,0.744
12,0.682,1,0.367
12,0.606,1,0.327
12,0.436,1,0.697
12,0.675,1,0.302
12,0.483,1,0.462
12,0.409,1,0.26
12,0.5,1,0.771
12,0.535,1,0.755
12,0.461,1,0.59
12,0.409,1,0.488
12,0.449,1,0.351
13,0.71,1,0.471
13,0.57,1,0.234
13,0.608,1,0.481
13,0.519,1,0.546
13,0.665,1,0.342
13,0.521,1,0.624
13,0.551,1,0.221
13,0.427,1,0.479
13,0.461,1,0.429
13,0.486,1,0.645
13,0.527,1,0.735
13,0.484,1,0.779
13,0.585,1,0.418
13,0.489,1,0.452
13,0.525,1,0.423
13,0.46,1,0.661
13,0.563,1,0.571
13,0.504,1,0.268
13,0.5,1,0.217
13,0.792,1,0.607
13,0.536,1,0.632
13,0.712,1,0.207
13,0.664,1,0.58
13,0.517,1,0.678
13,0.689,1,0.571
13,0.569,1,0.321
13,0.659,1,0.715
13,0.557,1,0.655
14,0.55,1,0.445
14,0.499,1,0.62
14,0.579,1,0.467
14,0.566,1,0.594
14,0.508,1,0.508
14,0.509,1,0.606
14,0.446,1,0.552
14,0.458,1,0.328
14,0.49,1,0.356
14,0.467,1,0.706
14,0.565,1,0.672
14,0.565,1,0.613
14,0.557,1,0.64
14,0.578,1,0.364
14,0.617,1,0.317
14,0.533,1,0.655
14,0.484,1,0.285
14,0.661,1,0.686
14,0.529,1,0.398
14,0.403,1,0.639
14,0.525,1,0.439
14,0.654,1,0.657
14,0.534,1,0.307
14,0.506,1,0.213
14,0.449,1,0.785
14,0.392,1,0.685
14,0.47,1,0.283
14,0.493,1,0.762
14,0.469,1,0.235
15,0.704,1,0.565
15,0.688,1,0.447
15,0.722,1,0.432
15,0.59,1,0.763
15,0.587,1,0.723
15,0.605,1,0.467
15,0.711,1,0.63
15,0.707,1,0.767
15,0.603,1,0.536
15,0.553,1,0.261
15,0.597,1,0.542
15,0.675,1,0.778
15,0.527,1,0.501
15,0.753,1,0.507
15,0.543,1,0.532
15,0.637,1,0.389
15,0.482,1,0.699
15,0.576,1,0.707
15,0.585,1,0.721
15,0.606,1,0.751
15,0.576,1,0.651
15,0.562,1,0.375
15,0.644,1,0.682
15,0.577,1,0.412
15,0.551,1,0.78
15,0.61,1,0.479
15,0.618,1,0.365
15,0.687,1,0.726
16,0.6,1,0.258
16,0.588,1,0.497
16,0.702,1,0.655
16,0.627,1,0.46
16,0.639,1,0.749
16,0.559,1,0.708
16,0.705,1,0.587
16,0.651,1,0.477
16,0.61,1,0.771
16,0.603,1,0.323
16,0.536,1,0.555
16,0.502,1,0.29
16,0.586,1,0.584
16,0.571,1,0.799
16,0.606,1,0.584
16,0.519,1,0.676
16,0.569,1,0.424
16,0.536,1,0.46
16,0.496,1,0.701
16,0.543,1,0.653
16,0.478,1,0.212
16,0.478,1,0.4
16,0.47,1,0.297
16,0.507,1,0.34
16,0.513,1,0.606
16,0.53,1,0.586
16,0.596,1,0.581
16,0.572,1,0.271
17,0.935,1,0.73
17,0.807,1,0.364
17,0.919,1,0.485
17,0.874,1,0.238
17,0.818,1,0.67
17,0.494,1,0.714
17,0.724,1,0.368
17,0.771,1,0.603
17,0.765,1,0.469
17,0.792,1,0.403
17,0.757,1,0.38
17,0.639,1,0.654
17,0.565,1,0.448
17,0.523,1,0.768
17,0.649,1,0.777
17,0.543,1,0.703
17,0.571,1,0.286
17,0.524,1,0.424
17,0.458,1,0.613
17,0.498,1,0.728
17,0.563,1,0.353
17,0.614,1,0.429
17,0.579,1,0.228
17,0.553,1,0.3
17,0.587,1,0.267
17,0.706,1,0.264
18,0.697,1,0.604
18,0.71,1,0.675
18,0.86,1,0.653
18,0.623,1,0.587
18,0.587,1,0.589
18,0.587,1,0.33
18,0.586,1,0.232
18,0.725,1,0.336
18,0.607,1,0.566
18,0.616,1,0.793
18,0.846,1,0.536
18,0.706,1,0.605
18,0.761,1,0.469
18,0.735,1,0.43
18,0.684,1,0.783
18,0.637,1,0.581
18,0.675,1,0.786
18,0.607,1,0.57
18,0.642,1,0.336
18,0.658,1,0.339
18,0.668,1,0.378
18,0.674,1,0.276
18,0.613,1,0.268
18,0.657,1,0.696
18,0.68,1,0.257
18,0.59,1,0.666
18,0.522,1,0.428
18,0.743,1,0.761
19,0.615,1,0.375
19,0.573,1,0.268
19,0.569,1,0.357
19,0.487,1,0.565
19,0.477,1,0.296
19,0.531,1,0.663
19,0.468,1,0.351
19,0.542,1,0.447
19,0.496,1,0.413
19,0.549,1,0.397
19,0.539,1,0.618
19,0.547,1,0.798
19,0.471,1,0.508
19,0.499,1,0.686
19,0.496,1,0.336
19,0.531,1,0.294
19,0.454,1,0.622
19,0.458,1,0.3
19,0.468,1,0.618
19,0.452,1,0.314
19,0.412,1,0.211
19,0.435,1,0.54
19,0.431,1,0.281
19,0.57,1,0.671
19,0.587,1,0.643
19,0.448,1,0.601
19,0.611,1,0.799
19,0.523,1,0.422
20,0.572,1,0.42
20,0.558,1,0.729
20,0.606,1,0.726
20,0.784,1,0.511
20,0.465,1,0.431
20,0.466,1,0.2
20,0.553,1,0.372
20,0.475,1,0.245
20,0.549,1,0.638
20,0.557,1,0.601
20,0.587,1,0.77
20,0.472,1,0.574
20,0.447,1,0.24
20,0.707,1,0.593
21,0.563,1,0.58
21,0.441,1,0.544
21,0.528,1,0.52
21,0.595,1,0.498
21,0.51,1,0.2
21,0.504,1,0.51
21,0.495,1,0.783
21,0.648,1,0.523
21,0.542,1,0.435
21,0.51,1,0.309
21,0.505,1,0.67
21,0.449,1,0.54
21,0.518,1,0.574
21,0.6,1,0.298
21,0.713,1,0.638
21,0.564,1,0.336
21,0.527,1,0.563
21,0.532,1,0.26
21,0.565,1,0.467
21,0.492,1,0.359
21,0.499,1,0.251
21,0.527,1,0.497
21,0.541,1,0.721
21,0.529,1,0.42
21,0.506,1,0.38
21,0.537,1,0.529
21,0.495,1,0.572
21,0.562,1,0.323
22,0.714,1,0.461
22,0.72,1,0.62
22,0.735,1,0.371
22,0.629,1,0.646
22,0.81,1,0.327
22,0.787,1,0.347
22,0.717,1,0.771
22,0.843,1,0.598
22,0.72,1,0.311
22,0.615,1,0.687
22,0.616,1,0.215
22,0.577,1,0.494
22,0.65,1,0.733
22,0.618,1,0.699
22,0.654,1,0.538
22,0.712,1,0.659
22,0.661,1,0.744
22,0.553,1,0.653
22,0.691,1,0.275
22,0.664,1,0.209
22,0.669,1,0.564
22,0.684,1,0.749
22,0.743,1,0.477
22,0.709,1,0.763
22,0.681,1,0.23
23,0.542,1,0.613
23,0.538,1,0.546
23,0.619,1,0.767
23,0.565,1,0.254
23,0.488,1,0.409
23,0.603,1,0.43
23,0.477,1,0.741
23,0.606,1,0.333
23,0.626,1,0.654
23,0.441,1,0.739
23,0.535,1,0.398
23,0.448,1,0.225
23,0.439,1,0.751
23,0.514,1,0.776
23,0.588,1,0.789
23,0.514,1,0.684
23,0.511,1,0.263
23,0.525,1,0.462
23,0.569,1,0.369
23,0.542,1,0.514
23,0.477,1,0.312
23,0.634,1,0.362
23,0.47,1,0.75
24,0.58,1,0.514
24,0.649,1,0.274
24,0.618,1,0.594
24,0.734,1,0.756
24,0.695,1,0.627
24,0.651,1,0.714
24,0.62,1,0.761
24,0.586,1,0.404
24,0.781,1,0.384
24,0.729,1,0.722
24,0.835,1,0.425
24,0.574,1,0.585
24,0.695,1,0.403
24,0.622,1,0.422
24,0.622,1,0.339
24,0.504,1,0.363
24,0.479,1,0.559
24,0.57,1,0.633
24,0.449,1,0.572
24,0.471,1,0.761
24,0.617,1,0.573
24,0.417,1,0.479
24,0.554,1,0.293
24,0.524,1,0.54
24,0.585,1,0.28
24,0.527,1,0.268
24,0.578,1,0.51
24,0.529,1,0.619
24,0.752,1,0.33
