Subject,RT,condition,template_duration
5,0.951,1,0.422
5,0.895,1,0.665
5,0.924,1,0.267
5,0.543,1,0.338
5,0.718,1,0.678
5,0.691,1,0.242
5,0.782,1,0.743
5,0.707,1,0.638
5,0.828,1,0.335
5,0.675,1,0.738
5,0.677,1,0.504
5,0.744,1,0.296
5,0.807,1,0.324
5,0.658,1,0.414
5,0.898,1,0.454
5,0.93,1,0.286
5,0.69,1,0.486
5,0.681,1,0.742
5,0.852,-1,0.743
5,0.926,-1,0.615
5,0.867,-1,0.396
5,0.838,-1,0.738
5,0.831,-1,0.551
5,0.935,-1,0.75
5,0.858,-1,0.444
5,0.761,-1,0.744
5,0.695,-1,0.677
5,0.777,-1,0.76
5,0.738,-1,0.736
5,0.761,-1,0.62
5,0.723,-1,0.646
5,0.613,-1,0.793
5,0.611,-1,0.681
5,0.613,-1,0.291
5,0.6,-1,0.204
5,0.627,-1,0.537
5,0.693,-1,0.456
6,0.671,1,0.785
6,0.649,1,0.494
6,0.606,1,0.268
6,0.584,1,0.277
6,0.771,1,0.623
6,0.789,1,0.555
6,0.772,1,0.496
6,0.698,1,0.66
6,0.72,1,0.246
6,0.746,1,0.619
6,0.72,1,0.429
6,0.746,1,0.408
6,0.655,1,0.486
6,0.522,1,0.51
6,0.837,1,0.426
6,0.899,1,0.718
6,0.743,1,0.769
6,0.989,1,0.53
6,0.534,1,0.462
6,0.735,1,0.317
6,0.643,1,0.789
6,0.688,1,0.51
6,0.552,1,0.628
6,0.767,1,0.275
6,0.619,1,0.633
6,0.685,-1,0.737
6,0.587,-1,0.462
6,0.694,-1,0.287
6,0.898,-1,0.498
6,0.703,-1,0.212
6,0.624,-1,0.328
6,0.665,-1,0.766
6,0.818,-1,0.374
6,0.962,-1,0.306
6,0.749,-1,0.507
6,0.804,-1,0.324
6,0.647,-1,0.741
6,0.751,-1,0.757
6,0.688,-1,0.71
6,0.762,-1,0.554
6,0.913,-1,0.603
6,0.567,-1,0.799
6,0.776,-1,0.245
6,0.645,-1,0.5
6,0.785,-1,0.324
6,0.729,-1,0.767
6,0.598,-1,0.513
6,0.663,-1,0.67
6,0.576,-1,0.252
6,0.637,-1,0.457
6,0.709,-1,0.368
6,0.758,-1,0.308
7,0.635,1,0.551
7,0.778,1,0.542
7,0.615,1,0.716
7,0.679,1,0.481
7,0.566,1,0.362
7,0.539,1,0.47
7,0.513,1,0.244
7,0.491,1,0.53
7,0.521,1,0.61
7,0.596,1,0.644
7,0.658,1,0.403
7,0.558,1,0.596
7,0.484,1,0.308
7,0.572,1,0.277
7,0.469,1,0.205
7,0.54,1,0.761
7,0.504,1,0.434
7,0.544,1,0.612
7,0.681,1,0.732
7,0.51,1,0.357
